DES,KSS,STK,SMART,,,,,BOT|2/24/2011|3|+NRB|+NRBBT
DES,DISH,STK,SMART,,,,,SLD|2/24/2011|3|+NRB|+NRBBT
DES,IDCC,STK,SMART,,,,,SLD|2/24/2011|3|+NRB|+NRBBT
DES,MGA,STK,SMART,,,,,SLD|2/24/2011|3|+NRB|+NRBBT
DES,GTI,STK,SMART,,,,,SLD|2/24/2011|3|+NRB|+NRBBT
DES,SHLD,STK,SMART,,,,,SLD|2/24/2011|3|+NRB|+NRBBT
DES,EP,STK,SMART,,,,,SLD|2/24/2011|3|+NRB|+NRBBT
DES,FWLT,STK,SMART,,,,,SLD|2/24/2011|3|+NRB|+NRBBT
DES,OVTI,STK,SMART,,,,,BOT|2/25/2011|2|+NRB|+WRB
DES,CRM,STK,SMART,,,,,BOT|2/25/2011|2|+NRB|+WRB
DES,DECK,STK,SMART,,,,,BOT|2/25/2011|2|+NRB|+WRB
DES,IPG,STK,SMART,,,,,BOT|2/25/2011|2|+NRB|+WRB
DES,RDC,STK,SMART,,,,,BOT|2/25/2011|2|+NRB|+WRB
DES,CROX,STK,SMART,,,,,BOT|2/25/2011|3|+NRB|+WRB
DES,ADSK,STK,SMART,,,,,BOT|2/25/2011|3|+NRB|+WRB
DES,BA,STK,SMART,,,,,BOT|2/25/2011|3|+NRB|+WRB
DES,SD,STK,SMART,,,,,BOT|2/25/2011|3|+NRB|+WRB
DES,MENT,STK,SMART,,,,,BOT|2/25/2011|3|+NRB|+WRB
DES,FSLR,STK,SMART,,,,,SLD|2/25/2011|3|+NRB|+WRB
DES,NVTL,STK,SMART,,,,,SLD|2/25/2011|3|+NRB|+WRB
DES,CLD,STK,SMART,,,,,SLD|2/25/2011|3|+NRB|+WRB
DES,MRX,STK,SMART,,,,,BOT|2/28/2011|3|+NRB|-WRB
DES,JKS,STK,SMART,,,,,BOT|2/28/2011|3|+NRB|-WRB
DES,ENDP,STK,SMART,,,,,BOT|2/28/2011|3|+NRB|-WRB
DES,AMZN,STK,SMART,,,,,SLD|2/28/2011|3|+NRB|-WRB
DES,STX,STK,SMART,,,,,SLD|2/28/2011|3|+NRB|-WRB
DES,LO,STK,SMART,,,,,BOT|3/1/2011|3|+NRB|-WRB
DES,FRX,STK,SMART,,,,,BOT|3/1/2011|3|+NRB|-WRB
DES,FITB,STK,SMART,,,,,SLD|3/1/2011|2|+NRB|-WRB
DES,CEDC,STK,SMART,,,,,SLD|3/1/2011|3|+NRB|-WRB
