DES,FSLR,STK,SMART/ARCA,,,,,,||02/26/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||02/26/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||02/26/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||02/26/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||02/29/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||02/29/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||02/29/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||02/29/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||02/29/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||02/29/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||02/29/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||02/29/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||03/01/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||03/01/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||03/01/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||03/01/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||03/01/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||03/01/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||03/01/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||03/01/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||03/02/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||03/02/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||03/02/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||03/02/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||03/02/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||03/02/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||03/02/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||03/02/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||03/03/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||03/03/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||03/03/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||03/03/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||03/03/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||03/03/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||03/03/2016|
DES,QQQ,STK,SMART/ARCA,,,,,,||03/03/2016|
DES,AAPL,STK,SMART/ARCA,,,,,,||03/04/2016|
DES,AMZN,STK,SMART/ARCA,,,,,,||03/04/2016|
DES,CXO,STK,SMART/ARCA,,,,,,||03/04/2016|
DES,FCX,STK,SMART/ARCA,,,,,,||03/04/2016|
DES,FSLR,STK,SMART/ARCA,,,,,,||03/04/2016|
DES,NFLX,STK,SMART/ARCA,,,,,,||03/04/2016|
DES,NTAP,STK,SMART/ARCA,,,,,,||03/04/2016|
